iter	Passed	Remaining
1093	50813	42081
1094	50854	42030
1095	50917	41997
1096	50955	41944
1097	50992	41889
1098	51026	41833
1099	51065	41780
1100	51121	41742
1101	51160	41689
1102	51197	41635
1103	51234	41581
1104	51273	41529
1105	51341	41499
1106	51387	41453
1107	51435	41408
1108	51474	41355
1109	51510	41301
1110	51573	41268
1111	51623	41224
1112	51665	41174
1113	51703	41121
1114	51741	41068
1115	51800	41032
1116	51836	40977
1117	51875	40925
1118	51917	40875
1119	51959	40824
1120	52022	40792
1121	52059	40738
1122	52095	40683
1123	52134	40631
1124	52178	40583
1125	52240	40549
1126	52278	40495
1127	52316	40443
1128	52359	40394
1129	52400	40343
1130	52482	40324
1131	52521	40272
1132	52557	40218
1133	52596	40166
1134	52644	40121
1135	52709	40089
1136	52746	40035
1137	52782	39980
1138	52818	39926
1139	52857	39875
1140	52921	39841
1141	52960	39789
1142	52999	39737
1143	53035	39684
1144	53077	39634
1145	53143	39602
1146	53180	39549
1147	53216	39494
1148	53254	39442
1149	53290	39388
1150	53350	39352
1151	53385	39297
1152	53422	39244
1153	53473	39201
1154	53519	39154
1155	53577	39116
1156	53609	39060
1157	53651	39010
1158	53690	38959
1159	53731	38908
1160	53794	38874
1161	53832	38822
1162	53872	38771
1163	53914	38722
1164	53954	38671
1165	54015	38635
1166	54052	38582
1167	54087	38527
1168	54124	38475
1169	54164	38424
1170	54226	38389
1171	54262	38335
1172	54303	38285
1173	54341	38233
1174	54380	38182
1175	54439	38144
1176	54474	38090
1177	54525	38047
1178	54568	37998
1179	54607	37947
1180	54670	37913
1181	54713	37864
1182	54750	37811
1183	54790	37760
1184	54829	37710
1185	54891	37674
1186	54928	37621
1187	54965	37569
1188	55005	37518
1189	55048	37470
1190	55108	37433
1191	55146	37380
1192	55185	37329
1193	55224	37278
1194	55260	37225
1195	55323	37190
1196	55362	37139
1197	55399	37087
1198	55438	37035
1199	55475	36983
1200	55562	36964
1201	55601	36913
1202	55643	36864
1203	55686	36815
1204	55724	36764
1205	55784	36727
1206	55820	36674
1207	55861	36624
1208	55899	36573
1209	55937	36521
1210	55997	36484
1211	56038	36434
1212	56079	36384
1213	56121	36335
1214	56163	36286
1215	56225	36250
1216	56260	36197
1217	56295	36143
1218	56333	36092
1219	56374	36042
1220	56432	36004
1221	56465	35949
1222	56499	35895
1223	56538	35844
1224	56579	35795
1225	56655	35767
1226	56695	35717
1227	56744	35673
1228	56785	35623
1229	56822	35572
1230	56885	35536
1231	56917	35481
1232	56958	35431
1233	56993	35378
1234	57036	35330
1235	57098	35294
1236	57132	35239
1237	57168	35187
1238	57208	35138
1239	57249	35088
1240	57308	35050
1241	57343	34997
1242	57379	34944
1243	57421	34896
1244	57460	34845
1245	57519	34807
1246	57558	34756
1247	57594	34704
1248	57653	34666
1249	57689	34613
1250	57760	34582
1251	57796	34530
1252	57833	34478
1253	57876	34430
1254	57939	34394
1255	58037	34378
1256	58085	34333
1257	58150	34298
1258	58212	34261
1259	58276	34225
1260	58379	34212
1261	58442	34176
1262	58508	34141
1263	58570	34104
1264	58652	34078
1265	58749	34061
1266	58800	34018
1267	58841	33968
1268	58884	33919
1269	58923	33869
1270	59039	33863
1271	59097	33823
1272	59169	33791
1273	59234	33755
1274	59300	33719
1275	59395	33701
1276	59464	33667
1277	59512	33621
1278	59569	33580
1279	59611	33531
1280	59725	33523
1281	59786	33484
1282	59854	33449
1283	59911	33408
1284	59977	33372
1285	60088	33361
1286	60151	33324
1287	60216	33287
1288	60284	33252
1289	60358	33220
1290	60473	33211
1291	60538	33174
1292	60606	33139
1293	60677	33105
1294	60771	33084
1295	60889	33075
1296	60952	33037
1297	61016	32999
1298	61085	32964
1299	61156	32930
1300	61270	32919
1301	61332	32880
1302	61394	32841
1303	61440	32793
1304	61479	32741
1305	61540	32702
1306	61581	32651
1307	61618	32599
1308	61655	32547
1309	61690	32493
1310	61752	32453
1311	61799	32407
1312	61844	32358
1313	61880	32305
1314	61930	32260
1315	61994	32221
1316	62031	32169
1317	62074	32120
1318	62114	32069
1319	62151	32017
1320	62210	31976
1321	62244	31922
1322	62286	31872
1323	62330	31824
1324	62366	31771
1325	62428	31732
1326	62462	31678
1327	62499	31626
1328	62539	31575
1329	62577	31524
1330	62636	31483
1331	62673	31430
1332	62708	31377
1333	62745	31325
1334	62788	31276
1335	62866	31244
1336	62899	31191
1337	62943	31142
1338	62984	31092
1339	63026	31042
1340	63096	31006
1341	63134	30955
1342	63172	30903
1343	63213	30854
1344	63252	30803
1345	63308	30760
1346	63346	30709
1347	63384	30657
1348	63422	30606
1349	63465	30557
1350	63525	30516
1351	63561	30464
1352	63597	30411
1353	63638	30362
1354	63675	30310
1355	63742	30272
1356	63782	30222
1357	63821	30172
1358	63883	30131
1359	63924	30082
1360	63997	30047
1361	64037	29996
1362	64073	29944
1363	64110	29893
1364	64155	29845
1365	64220	29806
1366	64255	29753
1367	64292	29702
1368	64329	29650
1369	64372	29602
1370	64440	29564
1371	64475	29512
1372	64512	29460
1373	64551	29409
1374	64585	29356
1375	64642	29314
